time,court,status,reservation_link,court_id,date
9:00 a.m.,Court 9,Not available,,3,2025-08-14
10:00 a.m.,Court 10,Not available,,3,2025-08-14
10:00 a.m.,Court 9,Not available,,3,2025-08-14
11:00 a.m.,Court 10,Not available,,3,2025-08-14
11:00 a.m.,Court 9,Not available,,3,2025-08-14
12:00 p.m.,Court 10,Not available,,3,2025-08-14
12:00 p.m.,Court 9,Not available,,3,2025-08-14
1:00 p.m.,Court 10,Not available,,3,2025-08-14
1:00 p.m.,Court 9,Not available,,3,2025-08-14
2:00 p.m.,Court 10,Not available,,3,2025-08-14
2:00 p.m.,Court 9,Not available,,3,2025-08-14
3:00 p.m.,Court 10,Not available,,3,2025-08-14
3:00 p.m.,Court 9,Reserve this time,,3,2025-08-14
4:00 p.m.,Court 10,Not available,,3,2025-08-14
4:00 p.m.,Court 9,Not available,,3,2025-08-14
5:00 p.m.,Court 10,Not available,,3,2025-08-14
5:00 p.m.,Court 9,Not available,,3,2025-08-14
6:00 p.m.,Court 10,Not available,,3,2025-08-14
6:00 p.m.,Court 9,Not available,,3,2025-08-14
7:00 p.m.,Court 10,Not available,,3,2025-08-14
7:00 p.m.,Court 9,Not available,,3,2025-08-14
8:00 p.m.,Court 10,Not available,,3,2025-08-14
8:00 p.m.,Court 9,Not available,,3,2025-08-14
9:00 p.m.,Court 10,Not available,,3,2025-08-14
9:00 p.m.,Court 9,Not available,,3,2025-08-14
10:00 p.m.,Court 10,Not available,,3,2025-08-14
10:00 p.m.,Court 9,Not available,,3,2025-08-14
6:00 a.m.,Court 10,Not available,,3,2025-08-15
6:00 a.m.,Court 9,Not available,,3,2025-08-15
7:00 a.m.,Court 10,Not available,,3,2025-08-15
7:00 a.m.,Court 9,Not available,,3,2025-08-15
8:00 a.m.,Court 10,Not available,,3,2025-08-15
8:00 a.m.,Court 9,Not available,,3,2025-08-15
9:00 a.m.,Court 10,Not available,,3,2025-08-15
9:00 a.m.,Court 9,Not available,,3,2025-08-15
10:00 a.m.,Court 10,Not available,,3,2025-08-15
10:00 a.m.,Court 9,Not available,,3,2025-08-15
11:00 a.m.,Court 10,Not available,,3,2025-08-15
11:00 a.m.,Court 9,Not available,,3,2025-08-15
12:00 p.m.,Court 10,Not available,,3,2025-08-15
12:00 p.m.,Court 9,Not available,,3,2025-08-15
1:00 p.m.,Court 10,Not available,,3,2025-08-15
1:00 p.m.,Court 9,Not available,,3,2025-08-15
2:00 p.m.,Court 10,Not available,,3,2025-08-15
2:00 p.m.,Court 9,Not available,,3,2025-08-15
3:00 p.m.,Court 10,Not available,,3,2025-08-15
3:00 p.m.,Court 9,Not available,,3,2025-08-15
4:00 p.m.,Court 10,Not available,,3,2025-08-15
4:00 p.m.,Court 9,Not available,,3,2025-08-15
5:00 p.m.,Court 10,Not available,,3,2025-08-15
5:00 p.m.,Court 9,Not available,,3,2025-08-15
6:00 p.m.,Court 10,Not available,,3,2025-08-15
6:00 p.m.,Court 9,Not available,,3,2025-08-15
7:00 p.m.,Court 10,Not available,,3,2025-08-15
7:00 p.m.,Court 9,Not available,,3,2025-08-15
8:00 p.m.,Court 10,Not available,,3,2025-08-15
8:00 p.m.,Court 9,Not available,,3,2025-08-15
9:00 p.m.,Court 10,Not available,,3,2025-08-15
9:00 p.m.,Court 9,Not available,,3,2025-08-15
10:00 p.m.,Court 10,Not available,,3,2025-08-15
10:00 p.m.,Court 9,Not available,,3,2025-08-15
6:00 a.m.,Court 10,Not available,,3,2025-08-16
