court_id,date,time,court,status,reservation_link,is_available
2,2025-08-05,1:00 p.m.,Court 9,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/653001,False
2,2025-08-05,2:00 p.m.,Court 10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/653004,False
2,2025-08-05,2:00 p.m.,Court 9,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/653003,False
2,2025-08-05,3:00 p.m.,Court 10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/653006,False
2,2025-08-05,3:00 p.m.,Court 9,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/653005,False
2,2025-08-05,4:00 p.m.,Court 10,Booked,,False
2,2025-08-05,4:00 p.m.,Court 9,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/653007,False
2,2025-08-05,5:00 p.m.,Court 10,Booked,,False
2,2025-08-05,5:00 p.m.,Court 9,Booked,,False
2,2025-08-05,6:00 p.m.,Court 10,Booked,,False
2,2025-08-05,6:00 p.m.,Court 9,Booked,,False
2,2025-08-05,7:00 p.m.,Court 10,Booked,,False
2,2025-08-05,7:00 p.m.,Court 9,Booked,,False
2,2025-08-05,8:00 p.m.,Court 10,Not Available,,False
2,2025-08-05,8:00 p.m.,Court 9,Not Available,,False
2,2025-08-05,9:00 p.m.,Court 10,Not Available,,False
2,2025-08-05,9:00 p.m.,Court 9,Not Available,,False
2,2025-08-05,10:00 p.m.,Court 10,Not Available,,False
2,2025-08-05,10:00 p.m.,Court 9,Not Available,,False
3,2025-07-30,6:00 a.m.,Court 10,Not Available,,False
3,2025-07-30,6:00 a.m.,Court 9,Not Available,,False
3,2025-07-30,7:00 a.m.,Court 10,Booked,,False
3,2025-07-30,7:00 a.m.,Court 9,Booked,,False
3,2025-07-30,8:00 a.m.,Court 10,Booked,,False
3,2025-07-30,8:00 a.m.,Court 9,Booked,,False
3,2025-07-30,9:00 a.m.,Court 10,Booked,,False
3,2025-07-30,9:00 a.m.,Court 9,Booked,,False
3,2025-07-30,10:00 a.m.,Court 10,Not Available,,False
3,2025-07-30,10:00 a.m.,Court 9,Not Available,,False
3,2025-07-30,11:00 a.m.,Court 10,Not Available,,False
3,2025-07-30,11:00 a.m.,Court 9,Not Available,,False
3,2025-07-30,12:00 p.m.,Court 10,Booked,,False
3,2025-07-30,12:00 p.m.,Court 9,Not Available,,False
3,2025-07-30,1:00 p.m.,Court 10,Not Available,,False
3,2025-07-30,1:00 p.m.,Court 9,Not Available,,False
3,2025-07-30,2:00 p.m.,Court 10,Not Available,,False
