park_id,date,time,court_id,status,reservation_link,is_available
4,2025-08-14,1:00 p.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660348,True
4,2025-08-14,2:00 p.m.,10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660349,True
4,2025-08-14,2:00 p.m.,11,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660350,True
4,2025-08-14,2:00 p.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660351,True
4,2025-08-14,3:00 p.m.,10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660352,True
4,2025-08-14,3:00 p.m.,11,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660353,True
4,2025-08-14,3:00 p.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660354,True
4,2025-08-14,4:00 p.m.,11,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660356,True
4,2025-08-14,4:00 p.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660357,True
4,2025-08-14,5:00 p.m.,11,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660359,True
4,2025-08-14,5:00 p.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660360,True
4,2025-08-15,8:00 a.m.,10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660367,True
4,2025-08-15,8:00 a.m.,11,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660368,True
4,2025-08-15,8:00 a.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660369,True
4,2025-08-15,9:00 a.m.,10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660370,True
4,2025-08-15,9:00 a.m.,11,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660371,True
4,2025-08-15,9:00 a.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660372,True
4,2025-08-15,10:00 a.m.,10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660373,True
4,2025-08-15,10:00 a.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660375,True
4,2025-08-15,11:00 a.m.,10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660376,True
4,2025-08-15,11:00 a.m.,11,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660377,True
4,2025-08-15,11:00 a.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660378,True
4,2025-08-15,12:00 p.m.,10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660379,True
4,2025-08-15,12:00 p.m.,11,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660380,True
4,2025-08-15,12:00 p.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660381,True
4,2025-08-15,1:00 p.m.,10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660382,True
